,44
Frances Ross,2
Elizabeth Brice,2
Miss Billee Cuppia,2
Wood Goebel,2
Lily Hart,2
Frances Merivale,2
Ethel Shaw,2
Theodore Babcock,2
Percy Waram and Company,2
Frank Sherlock,2
"""Chuck"" Reisner and Henrietta Gore",2
"Jack Norworth, Songs and Things",2
"Nick's Roller Skating Girls, A Sextette of Stunning Beauties",2
Betty Swartz,2
Dennis Brothers,2
Arline Sheide,2
Miss Urat,2
Edw. Blondell,2
Matthews and Alshayne,2
Mr. John P. Wade And His Selected Players,2
Edna Whistler,2
Harry Lauder,2
Scottish Highlanders Band,2
Elmer Grandin,2
Helene Davis,2
Miss Nan Brennan,2
Violet Shaw,2
Mr. Denman Maley,2
Mr. Kenneth Ryan,2
Miss Elsa Reinhardt,2
Leona Bitter,2
Madeline Delmar,2
Tom Dunn,2
Charles Wyngate,2
Irene Enright,2
Miss Helena Aynsleigh,2
Miss Grace Menken,2
Gwen Dubary,2
Mr. Edward Adams,2
Six Musical Cuttys,2
Gertrude Meyer,2
Glenn Anders,2
Edna Selwyn,2
Evelyn Jones,2
Frank Muller,2
Alfred Borneman,2
Mr. F. Puliti,2
Mr. E. Ceccott,2
Mme. F. Monti,2
"Ben Ryan and Harriette Lee, In a Comedy Skit ""You've Spoiled It""",2
Stewart Jackson,2
Eleanor Sutter,2
Dorothea Sadlier,2
Ada Baldwin,2
Helen Meher,2
Grace Hall,2
Venita Fitzhugh,2
Carrie Burke,2
Grant Mitchell,2
James C. Marlowe,2
Frederick Seaton,2
Si Jinks,2
Carolyn Gordon,2
Wm. H. Boyd,2
S. Sasaki,2
Hale Hamilton,2
Daniel Sullivan,2
Fletcher Harvey,2
E. F. Taylor,2
Hal Frost,2
Bessie Cottrell,2
Else Dorset,2
Karl Steindler,2
Marie Serini,2
Lizzie Eckert,2
Ernst Naumann,2
August Meyer-Eigen,2
Ernst Werner,2
Lieschen Schumann,2
Hans Dobers-Kissling,2
Dora Bregowska,2
Otto Meyer,2
Jacob Brust,2
Marie Werner,2
Ice Cream,2
Franklyn Farnum,2
Burton Lenihan,2
Helene W. Davis,2
Edith Warren,2
Rita Bellaire,2
Susie McChroan,2
H. R. Haskell,2
Maxwell Kennedy,2
Richard Hall,2
Dick Stewart,2
Mabel Callon,2
Perry Alvarez,2
Ednah Bernard,2
Edith Thayer,2
Melville Anderson,2
Florida Bellaire,2
"Messrs. Doolan, Cryan, Lovie, Sachs, McCormack, Jackson, Landres, Rubinroff, Edward, Gold, Cardero, Pendergast, Reese, Brunner, Wilson, Nathan, Scott, Cody, Long, Drees, Rose, Bogart, Deem",2
Thomas Hardie,2
Fred. Waelder,2
Walter Thomas,2
Edwin Holland,2
