Thos. J. Gray,1
Composer and Lyricist,1
Cecil Lean,1
William J. Hurlbut,1
"Director of ""The Man in the Dark""",1
Ed. F. Reynard,1
Frank Craven and Scott Welsh,1
Dialogue Writer,1
Scenic Painter,1
"John Stromberg, A. Baldwin Sloane, and W. T. Francis",1
Jas. T. Duffy,1
Fred J. Ardath and Company,1
Mme. Doree,1
Sign. Eugenie Pinelli,1
Film Scenario Writers,1
Benjamin H. Namm and Max Abelman,1
Film Director,1
Sidney M. Gouldin,1
"Carl Laemmle, Universal Film Manufacturing Company",1
Brooklyn Federation of Jewish Charities,1
"Stage Manager for ""Colonial Days""",1
Albert Perrin,1
Sir W. S. Gilbert,1
Producer for The Six American Dancers,1
Clara Lipman and Samuel Shipman,1
C. H. O'Donnell,1
Costumes for The Six American Dancers,1
Chas. A. Clark,1
William Le Baron and Cecil de Mille,1
Deems Taylor and Robert Hood Bowers,1
Edmund H. Reardon,1
Jas. Maxwell,1
Howard Jacob,1
Leon M. Polechek,1
George Baldwin,1
Aaron Hoffman,1
May Tully,1
Robert Davis,1
Electrician for Taylor Granville,1
Jack Raymond,1
"Taylor Granville, McCree and Clark",1
Taylor Granville,1
Sam Friedman,1
Business Representative for H. Bart McHugh,1
T. A. Reilly,1
Ed. Gallager,1
Personal Direction,1
"Albee, Weber & Evans",1
Una Clayton,1
"Producer of ""The Lawn Party""",1
Charles Eddy,1
Dresser for Miss Robbie Gordone,1
Mrs. A. Billings,1
Master of Properties for Miss Robbie Gordone,1
Ed. Quinn,1
Musician for Miss Robbie Gordone,1
Prof. Wetzdorf,1
Conductor of the Clef Club Orchestra,1
Dan Kildare,1
Thomas Grant Springer,1
"Director of ""Reno and Return""",1
Homer Miles,1
Musical Director for Marion Littlefield,1
Alfredo Zambarano,1
Ezra Kendall,1
Zellah Covington,1
Charles Dickens,1
"Producer of ""Scrooge""",1
Tom Terriss,1
Producer of The Frey Twins,1
Daniel Frey,1
Otto Stoeckel,1
Blumenthal and Kadelburg,1
Hermann Martin Stein and Ernst Soehngen,1
Franz A. Beyerlein,1
Wilhelm Meyer-Forster,1
"Producer of ""The Diamond Dinner""",1
Bayard Veiller,1
"Producer of ""In the Barracks""",1
"Playwright of ""In the Barracks""",1
"Composer of ""In the Barracks""",1
"Lyricist for ""In the Barracks""",1
Grant Stewart,1
"Orchestra Conductor for ""In the Barracks""",1
Ernest Grooney,1
Business and Stage Manager,1
John H. Purcell,1
J. Downs,1
"Playwright of ""The Promoter""",1
Searl Allen,1
The Keith & Orpheum Circuits' Production Co.,1
John A. Emery,1
Kate Elinore,1
Sam Williams,1
Arthur C. Pell,1
Stage Manager for The Keith & Orpheum Circuits' Production Co.,1
W. C. Gordon,1
Wardrobe Mistress for The Keith & Orpheum Circuits' Production Co.,1
Mrs. Ena Welsh,1
Electrician for The Keith & Orpheum Circuits' Production Co.,1
Joe Magnolia,1
Stage Carpenter for Gertrude Hoffmann,1
Bert Cushing,1
Master of Properties for Gertrude Hoffmann,1
Jack Clinton,1
Importer of Arabs for Gertrude Hoffmann,1
Hassan Ben Ali,1
Stage Manager for Gertrude Hoffmann,1
George Hay,1
Cornet Soloist for Gertrude Hoffmann,1
Frank Giannone,1
May Marion,1
Gertrude Hoffmann,1
Willard Bowman,1
Violin Soloist for Gertrude Hoffmann,1
Charles Kuhnon,1
Assistant Electrician for Gertrude Hoffmann,1
Thomas Oates,1
Drum Soloist for Gertrude Hoffmann,1
William Spedick,1
Wm. C. De Mille,1
John Willard,1
Max Witt,1
Bozeman Bulger and May Tully,1
Raymond W. Peck,1
Melville Alexander,1
Lester Browne,1
M. S. Bentham,1
Composer for Adelaide and J. J. Hughes,1
Lee Orean Smith,1
Pianist for Jack Norworth,1
Harry De Costa,1
Elsie Janis,1
Orchestra Conductor for Adelaide and J. J. Hughes,1
L. L. Vos Burgh,1
Herbert Warren,1
Tony Lubelski,1
Directors of Musical Numbers,1
James Gorman and John E. Gorman,1
Manager for Tony Lubelski,1
Wm. A. Douglas,1
Musical Director for Tony Lubelski,1
J. N. Rehauser,1
Capt. C. F. Adams,1
A. Seymour Brown,1
Edward Clark,1
Edward Clark and Homer Miles,1
Rita Weiman,1
"Producer of Film ""Harry Thaw in Court and Prison Cell""",1
Hal Reid,1
Victor H. Smalley,1
Lewis and Gordon,1
Author of Rhymes,1
Drum effects,1
Costume plates designer,1
Frank c. Langley,1
General Press Representative for Weber & Fields' Jubilee Co.,1
Promoter of the International Caberet-Vaudeville Trust Josh Kidder,1
Michael Dillpickle,1
Joe Weber,1
"Pierre Poisson, proprietory of a bankrupt Parisian cafe",1
George Beban,1
"Mrs. Wallingford Grafter, with Bohemian instincts and a talent for poker",1
Lillian Russell,1
"Peachie Mullen, in vaudeville",1
Fay Templeton ,1
"Clorinda McCann, her father's daughter",1
Helena Collier Garrick,1
Mabelle Adams and Company,1
Business Manager for B. A. Rolfe,1
John L. Gorman,1
John C. Peebles,1
